174,174
182,8
246,64
253,7
308,55
392,84
409,17
454,45
650,196
733,83
741,8
779,38
847,68
905,58
945,40
951,6
1095,144
1107,12
1122,15
1136,14
1272,136
1393,121
1436,43
1476,40
1507,31
1628,121
1629,1
1694,65
1696,2
1725,29
1726,1
1727,1
1831,104
1910,79
1928,18
1929,1
1962,33
1974,12
1984,10
1998,14
1999,1
2007,8
2048,41
2067,19
2553,486
2568,15
2630,62
2640,10
2659,19
2834,175
2851,17
2925,74
2966,41
3042,76
3069,27
3139,70
3145,6
3314,169
3315,1
3400,85
3482,82
3537,55
3576,39
3627,51
3932,305
4042,110
4090,48
4120,30
4271,151
4307,36
4405,98
4420,15
4595,175
4653,58
4795,142
5125,330
5356,231
5457,101
5493,36
5589,96
5655,66
5855,200
5885,30
5914,29
6231,317
6233,2
6933,700
7188,255
7189,1
7305,116
7306,1
7509,203
8009,500
8921,912
9123,202
9124,1
11171,2047
11718,547
12418,700
13025,607
13072,47
13108,36
13363,255
13990,627
14091,101
14645,554
15014,369
15336,322
16028,692
16039,11
16602,563
16641,39
16954,313
17093,139
17135,42
17360,225
17508,148
18468,960
18479,11
19228,749
19303,75
19816,513
22297,2481
22298,1
22659,361
22929,270
22950,21
23359,409
23527,168
23528,1
28452,4924
28465,13
29531,1066
33338,3807
34706,1368
34709,3
36556,1847
37126,570
39069,1943
39084,15
43785,4701
49777,5992
50060,283
50074,14
50708,634
52107,1399
54472,2365
56788,2316
60461,3673
62397,1936
62642,245
62914,272
63850,936
64134,284
64550,416
65202,652
66950,1748
67722,772
68462,740
68678,216
70873,2195
71023,150
71129,106
71939,810
72404,465
72795,391
73276,481
74201,925
74934,733
75962,1028
78758,2796
79194,436
79454,260
80514,1060
81386,872
81398,12
82939,1541
83618,679
85367,1749
85380,13
85389,9
85398,9
86011,613
86032,21
86044,12
86623,579
87907,1284
88152,245
88357,205
90809,2452
93016,2207
